variant,model,condition,n,overall_score_mean,overall_score_sd,prediction_score_mean,prediction_score_sd,representation_score_mean,representation_score_sd,prediction_raw_mae_mean,prediction_raw_mae_sd,prediction_raw_accuracy_mean,prediction_raw_accuracy_sd,prediction_active_taxel_accuracy_mean,prediction_active_taxel_accuracy_sd,prediction_active_taxel_mae_mean,prediction_active_taxel_mae_sd,prediction_profile_accuracy_mean,prediction_profile_accuracy_sd,prediction_peak_accuracy_mean,prediction_peak_accuracy_sd,pca_total_explained_variance_mean,pca_total_explained_variance_sd,pca_raw_pred_gap_mean,pca_raw_pred_gap_sd,latent_combo_separation_ratio_mean,latent_combo_separation_ratio_sd,latent_combo_nearest_separation_ratio_mean,latent_combo_nearest_separation_ratio_sd,best_composite_run,best_composite_score
selftouch_contrastive_fcn,Contrastive FCN,no-history,5,28.16444003027258,3.508159647682007,11.269368475684015,4.388384594056584,51.81754020669657,6.985503824217955,90.12266883850097,2.0573668304096095,88.98557576425098,0.36067750461515374,63.93468657065067,0.3580245582501042,203.06126594543457,4.1985025277015495,89.05971573789915,2.505072475720559,48.56936620781844,0.43264019042359464,0.5760408639907837,0.00597736723369601,23.074500274658202,0.10291118182222975,9.518446676860748,1.640078955409132,5.592642788530657,1.3531160225847083,clean-pine-1,33.36543325145008
selftouch_contrastive_fcn,Contrastive FCN,history-2step,5,81.75912158849165,2.6853606813869875,94.63435683438531,2.903461831343964,63.73379224424053,7.111703848058696,47.64335126876831,0.5597926222573947,96.92879536775683,0.07291396557172085,88.3251476422175,0.3537359084008538,93.29444026947021,1.4926830069876644,94.42729828258356,2.4103678882247754,79.7832663396784,0.49139482351698305,0.5628626942634583,0.002326733124933122,22.34471664428711,0.037636580223346414,8.558203168518565,1.7369944519434841,4.681853432914581,1.3324764774338353,zesty-sound-7,85.11275771655635
selftouch_contrastive_transformer,Contrastive Transformer,no-history,5,19.700238903849513,1.8891476219748735,8.685094735468207,2.473172841020788,35.12144073958335,1.562685368582678,93.1386287689209,0.693609494645707,88.07863168265973,0.23825301329790438,62.78193311501084,0.3404604339391442,207.4661422729492,1.8082915313825771,90.78665550549826,2.138035242815243,47.69218232434528,0.396804866013556,0.5701877355575562,0.0021178707868765023,23.06942024230957,0.04047969583458452,6.389106906628042,0.7591616018658118,3.339971907583279,0.2499585616058251,swift-paper-4,22.02947862488014
selftouch_contrastive_transformer,Contrastive Transformer,history-2step,5,66.28757899641829,2.0967852746969355,76.2820886746694,1.4180185967286252,52.29526544686674,5.454322779481617,57.495895576477054,0.43445380086463525,95.08450749216999,0.021093550491984345,81.6806426997346,0.43656149853101045,117.3342674255371,1.2028832137180574,94.34570434192817,0.7993910709733499,71.75149920834514,0.6596468646931244,0.5646185159683228,0.003371461235714884,22.444698333740234,0.11406874303837537,6.243585781907461,1.647641326454872,3.304484258633793,0.7983048110596563,treasured-thunder-7,68.86438581391968
selftouch_contrastive_gru,Contrastive GRU,no-history,5,25.88930093302985,3.763638184096674,12.531458615872547,1.632572526342768,44.59028017705008,7.149969714153459,90.27418746948243,1.5377756485455807,88.90886810384283,0.3407416543676583,64.34435472811134,0.30772717845973946,200.0601608276367,2.5600722575392747,88.48312809069952,1.736043227354742,50.00391423536795,0.5522861978237422,0.5641614198684692,0.005794578037731934,22.868389511108397,0.13725249648257704,8.26219372807751,1.2388224346735264,4.200411898767664,1.0481572095011173,devout-field-7,30.406500693691374
selftouch_contrastive_gru,Contrastive GRU,history-2step,5,78.15318465387176,1.504377859023858,87.60092231485164,1.24798475275965,64.92635192849994,3.5637644798831616,48.55260305404663,0.42765826506003685,96.62290549407199,0.06648063788136854,86.58710292882367,0.2520145553160008,99.78545913696288,0.3244599104474699,91.6402097841104,1.095779414980718,77.1053662833889,0.3780499933497939,0.5638941287994385,0.0012939850981424882,22.254763412475587,0.04880556691153372,7.627019341297526,0.8774385824748973,4.459105729492478,0.637376795825608,pleasant-durian-1,80.1214892220181
selftouch_contrastive_temporal,Contrastive Temporal,no-history,5,26.3422898388107,2.5784566491845835,15.995444539333997,1.1046696244556535,40.827873258078085,5.052647828966628,91.75611991882325,0.47074078993968455,88.60291640516137,0.07825659810772596,63.58329012212541,0.5200689236076663,204.8193286895752,1.311601233763724,96.01536813378334,0.9001518656629792,48.382169135043384,0.3357833733310154,0.5690732836723328,0.00412565091741231,22.99342460632324,0.11311023112033494,7.268559996727566,1.3092954535607622,4.003084438863345,1.1822378579486943,restful-valley-4,29.305204746944014
selftouch_contrastive_temporal,Contrastive Temporal,history-2step,5,81.30809611991364,2.5495806105405823,96.30300019275651,0.8472984948395179,60.31523041793362,5.240995269160463,49.94153070449829,0.4162539599756291,96.58074560380098,0.03832496523881107,87.49185554342951,0.17998470382722104,95.01300430297852,0.9978805767139758,98.40406673649946,0.47307583069195475,79.11827563794267,0.2261550952546229,0.5585105061531067,0.002406449100623408,22.237488174438475,0.0244096976491099,7.295567404849865,1.4169050825848664,4.099979314816557,0.8433869549594971,serene-jazz-9,85.02616376982716
selftouch_contrastive_mamba,Contrastive Mamba,no-history,5,34.21912202888026,1.547056106511597,23.776983890267594,2.1899469719635998,48.83811542293799,1.7410405830228133,85.14611377716065,1.13260965347973,89.82871384212697,0.23794543908753593,67.74406395844429,0.5968736939688014,184.17890586853028,2.902355878943087,89.682811409235,1.5360582502637274,53.79726813942723,0.7477165493322466,0.5800231456756592,0.00526640743837542,23.151479721069336,0.10230287730984136,9.733573491583648,0.36920972183140727,4.563364783129589,0.5998909330678582,vague-wind-5,35.69403396282378
selftouch_contrastive_mamba,Contrastive Mamba,history-2step,5,79.4641889254865,1.4943585354698405,91.7666698660515,2.08449291208294,62.24071560869546,4.543050019865194,49.2409761428833,0.3273091763260077,96.6133073976376,0.08478316989948977,87.28372748324227,0.3626793652237932,96.85377616882325,0.9487691286678003,94.06173940002918,1.5768659916599659,78.96559547275197,0.33759389215792046,0.565768814086914,0.002332140828435458,22.388813400268553,0.09053831472701651,8.026561978772289,0.959604509748194,4.459691309776533,0.8777943255419839,misty-sky-6,81.70172591322965
